Time	Channel A
(s)	(V)

0.00000000	-1.75802700
0.00025002	-1.75802700
0.00050003	-1.77756100
0.00075005	-1.76291000
0.00100006	-1.78244400
0.00125008	-1.76779400
0.00150010	-1.78244400
0.00175011	-1.76779400
0.00200013	-1.76779400
0.00225014	-1.77267700
0.00250016	-1.78244400
0.00275018	-1.76779400
0.00300019	-1.77756100
0.00325021	-1.75314400
0.00350022	-1.76291000
0.00375024	-1.75802700
0.00400026	-1.75802700
0.00425027	-1.76291000
0.00450029	-1.78244400
0.00475030	-1.77267700
0.00500032	-1.76779400
0.00525034	-1.77756100
0.00550035	-1.77756100
0.00575037	-1.76291000
0.00600038	-1.77756100
0.00625040	-1.77267700
0.00650042	-1.78732800
0.00675043	-1.76779400
0.00700045	-1.78244400
0.00725046	-1.77756100
0.00750048	-1.76779400
0.00775050	-1.77756100
0.00800051	-1.77756100
0.00825053	-1.77756100
0.00850054	-1.76779400
0.00875056	-1.77756100
0.00900058	-1.77756100
0.00925059	-1.78732800
0.00950061	-1.77756100
0.00975062	-1.78244400
0.01000064	-1.78244400
0.01025066	-1.78244400
0.01050067	-1.77756100
0.01075069	-1.78244400
0.01100070	-1.76291000
0.01125072	-1.77267700
0.01150074	-1.77267700
0.01175075	-1.77267700
0.01200077	-1.78732800
0.01225078	-1.78732800
0.01250080	-1.76291000
0.01275082	-1.78244400
0.01300083	-1.78732800
0.01325085	-1.77267700
0.01350086	-1.76779400
0.01375088	-1.75314400
0.01400090	-1.77267700
0.01425091	-1.75314400
0.01450093	-1.76779400
0.01475094	-1.76779400
0.01500096	-1.77756100
0.01525098	-1.76291000
0.01550099	-1.76779400
0.01575101	-1.75802700
0.01600102	-1.77756100
0.01625104	-1.78732800
0.01650106	-1.77267700
0.01675107	-1.77267700
0.01700109	-1.75802700
0.01725110	-1.76291000
0.01750112	-1.76779400
0.01775114	-1.76779400
0.01800115	-1.78244400
0.01825117	-1.77267700
0.01850118	-1.78244400
0.01875120	-1.75314400
0.01900122	-1.76291000
0.01925123	-1.76291000
0.01950125	-1.77756100
0.01975126	-1.77267700
0.02000128	-1.78244400
0.02025130	-1.78244400
0.02050131	-1.77267700
0.02075133	-1.76779400
0.02100134	-1.76779400
0.02125136	-1.77267700
0.02150138	-1.77756100
0.02175139	-1.77267700
0.02200141	-1.77267700
0.02225142	-1.76779400
0.02250144	-1.77756100
0.02275146	-1.77267700
0.02300147	-1.77267700
0.02325149	-1.76779400
0.02350150	-1.76779400
0.02375152	-1.77267700
0.02400154	-1.76291000
0.02425155	-1.78732800
0.02450157	-1.77267700
0.02475158	-1.77267700
0.02500160	-1.77756100
0.02525161	-1.77267700
0.02550163	-1.77756100
0.02575165	-1.78732800
0.02600166	-1.76779400
0.02625168	-1.76779400
0.02650169	-1.77267700
0.02675171	-1.77756100
0.02700173	-1.77267700
0.02725174	-1.75802700
0.02750176	-1.76779400
0.02775177	-1.75314400
0.02800179	-1.76779400
0.02825181	-1.75802700
0.02850182	-1.77756100
0.02875184	-1.76779400
0.02900185	-1.77267700
0.02925187	-1.77756100
0.02950189	-1.77756100
0.02975190	-1.77756100
0.03000192	-1.76291000
0.03025193	-1.77267700
0.03050195	-1.77267700
0.03075197	-1.75802700
0.03100198	-1.77756100
0.03125200	-1.76779400
0.03150201	-1.76291000
0.03175203	-1.76291000
0.03200205	-1.77267700
0.03225206	-1.77756100
0.03250208	-1.76291000
0.03275209	-1.77756100
0.03300211	-1.76779400
0.03325213	-1.77267700
0.03350214	-1.78244400
0.03375216	-1.78244400
0.03400217	-1.77756100
0.03425219	-1.78244400
0.03450221	-1.78244400
0.03475222	-1.78244400
0.03500224	-1.78732800
0.03525225	-1.76779400
0.03550227	-1.78244400
0.03575229	-1.78244400
0.03600230	-1.77756100
0.03625232	-1.78244400
0.03650233	-1.75802700
0.03675235	-1.79221100
0.03700237	-1.76291000
0.03725238	-1.77756100
0.03750240	-1.77267700
0.03775241	-1.77267700
0.03800243	-1.77756100
0.03825245	-1.78244400
0.03850246	-1.77756100
0.03875248	-1.78732800
0.03900249	-1.78244400
0.03925251	-1.80686100
0.03950253	-1.77756100
0.03975254	-1.77267700
0.04000256	-1.78244400
0.04025257	-1.78732800
0.04050259	-1.75314400
