Time	Channel B
(s)	(V)

0.00000000	-1.18172400
0.00020000	-1.18160200
0.00040000	-1.18148000
0.00060000	-1.18135800
0.00080000	-1.18123600
0.00100000	-1.18111300
0.00120000	-1.18093000
0.00140000	-1.18074700
0.00160000	-1.18068600
0.00180000	-1.18068600
0.00200000	-1.18068600
0.00220000	-1.18074700
0.00240000	-1.18074700
0.00260000	-1.18068600
0.00280000	-1.18056400
0.00300000	-1.18044200
0.00320000	-1.18025900
0.00340000	-1.18025900
0.00360000	-1.18032000
0.00380000	-1.18050300
0.00400000	-1.18080800
0.00420000	-1.18117500
0.00440000	-1.18141900
0.00460000	-1.18166300
0.00480000	-1.18184600
0.00500000	-1.18196800
0.00520000	-1.18209000
0.00540000	-1.18227300
0.00560000	-1.18239500
0.00580000	-1.18233400
0.00600000	-1.18215100
0.00620000	-1.18190700
0.00640000	-1.18160200
0.00660000	-1.18135800
0.00680000	-1.18123600
0.00700000	-1.18123600
0.00720000	-1.18123600
0.00740000	-1.18123600
0.00760000	-1.18117500
0.00780000	-1.18117500
0.00800000	-1.18111300
0.00820000	-1.18105200
0.00840000	-1.18105200
0.00860000	-1.18111300
0.00880000	-1.18117500
0.00900000	-1.18129700
0.00920000	-1.18154100
0.00940000	-1.18178500
0.00960000	-1.18190700
0.00980000	-1.18196800
0.01000000	-1.18184600
0.01020000	-1.18160200
0.01040000	-1.18135800
0.01060000	-1.18105200
0.01080000	-1.18080800
0.01100000	-1.18056400
0.01120000	-1.18044200
0.01140000	-1.18038100
0.01160000	-1.18044200
0.01180000	-1.18050300
0.01200000	-1.18056400
0.01220000	-1.18062500
0.01240000	-1.18074700
0.01260000	-1.18080800
0.01280000	-1.18074700
0.01300000	-1.18056400
0.01320000	-1.18032000
0.01340000	-1.17995400
0.01360000	-1.17958700
0.01380000	-1.17934300
0.01400000	-1.17928200
0.01420000	-1.17934300
0.01440000	-1.17958700
0.01460000	-1.17977000
0.01480000	-1.18001500
0.01500000	-1.18025900
0.01520000	-1.18044200
0.01540000	-1.18056400
0.01560000	-1.18068600
0.01580000	-1.18080800
0.01600000	-1.18080800
0.01620000	-1.18074700
0.01640000	-1.18056400
0.01660000	-1.18025900
0.01680000	-1.17995400
0.01700000	-1.17964800
0.01720000	-1.17946500
0.01740000	-1.17940400
0.01760000	-1.17946500
0.01780000	-1.17958700
0.01800000	-1.17983200
0.01820000	-1.18001500
0.01840000	-1.18025900
0.01860000	-1.18038100
0.01880000	-1.18050300
0.01900000	-1.18044200
0.01920000	-1.18032000
0.01940000	-1.18007600
0.01960000	-1.17977000
0.01980000	-1.17940400
0.02000000	-1.17909900
0.02020000	-1.17879400
0.02040000	-1.17855000
0.02060000	-1.17855000
0.02080000	-1.17867200
0.02100000	-1.17891600
0.02120000	-1.17922100
0.02140000	-1.17952600
0.02160000	-1.17977000
0.02180000	-1.17989300
0.02200000	-1.17995400
0.02220000	-1.17989300
0.02240000	-1.17970900
0.02260000	-1.17952600
0.02280000	-1.17928200
0.02300000	-1.17903800
0.02320000	-1.17885500
0.02340000	-1.17873300
0.02360000	-1.17867200
0.02380000	-1.17873300
0.02400000	-1.17879400
0.02420000	-1.17891600
0.02440000	-1.17903800
0.02460000	-1.17909900
0.02480000	-1.17916000
0.02500000	-1.17922100
0.02520000	-1.17928200
0.02540000	-1.17934300
0.02560000	-1.17934300
0.02580000	-1.17928200
0.02600000	-1.17916000
0.02620000	-1.17909900
0.02640000	-1.17903800
0.02660000	-1.17909900
0.02680000	-1.17928200
0.02700000	-1.17952600
0.02720000	-1.17970900
0.02740000	-1.17989300
0.02760000	-1.17989300
0.02780000	-1.17983200
0.02800000	-1.17964800
0.02820000	-1.17952600
0.02840000	-1.17934300
0.02860000	-1.17922100
0.02880000	-1.17909900
0.02900000	-1.17903800
0.02920000	-1.17897700
0.02940000	-1.17903800
0.02960000	-1.17897700
0.02980000	-1.17891600
0.03000000	-1.17873300
0.03020000	-1.17848900
0.03040000	-1.17830600
0.03060000	-1.17818300
0.03080000	-1.17812200
0.03100000	-1.17806100
0.03120000	-1.17793900
0.03140000	-1.17781700
0.03160000	-1.17769500
0.03180000	-1.17757300
0.03200000	-1.17769500
0.03220000	-1.17787800
0.03240000	-1.17812200
