Time	Channel B
(s)	(V)

0.00000000	-6.64113000
0.00020000	-6.64113000
0.00040000	-6.64082500
0.00060000	-6.64082500
0.00080000	-6.64052000
0.00100000	-6.63991000
0.00120000	-6.63960500
0.00140000	-6.63960500
0.00160000	-6.63991000
0.00180000	-6.64021500
0.00200000	-6.64082500
0.00220000	-6.64143600
0.00240000	-6.64204600
0.00260000	-6.64296200
0.00280000	-6.64387800
0.00300000	-6.64479300
0.00320000	-6.64601400
0.00340000	-6.64662500
0.00360000	-6.64693000
0.00380000	-6.64662500
0.00400000	-6.64662500
0.00420000	-6.64601400
0.00440000	-6.64540300
0.00460000	-6.64479300
0.00480000	-6.64387800
0.00500000	-6.64296200
0.00520000	-6.64204600
0.00540000	-6.64113000
0.00560000	-6.64052000
0.00580000	-6.64021500
0.00600000	-6.64052000
0.00620000	-6.64143600
0.00640000	-6.64357200
0.00660000	-6.64570900
0.00680000	-6.64784500
0.00700000	-6.64906600
0.00720000	-6.64937100
0.00740000	-6.64906600
0.00760000	-6.64784500
0.00780000	-6.64662500
0.00800000	-6.64509800
0.00820000	-6.64326700
0.00840000	-6.64204600
0.00860000	-6.64082500
0.00880000	-6.64052000
0.00900000	-6.64021500
0.00920000	-6.64021500
0.00940000	-6.63991000
0.00960000	-6.63960500
0.00980000	-6.63929900
0.01000000	-6.63960500
0.01020000	-6.64021500
0.01040000	-6.64082500
0.01060000	-6.64143600
0.01080000	-6.64174100
0.01100000	-6.64143600
0.01120000	-6.64113000
0.01140000	-6.64052000
0.01160000	-6.64052000
0.01180000	-6.63991000
0.01200000	-6.63899400
0.01220000	-6.63746800
0.01240000	-6.63624700
0.01260000	-6.63533200
0.01280000	-6.63472100
0.01300000	-6.63502600
0.01320000	-6.63594200
0.01340000	-6.63685800
0.01360000	-6.63716300
0.01380000	-6.63685800
0.01400000	-6.63594200
0.01420000	-6.63472100
0.01440000	-6.63380500
0.01460000	-6.63350000
0.01480000	-6.63411000
0.01500000	-6.63624700
0.01520000	-6.63868900
0.01540000	-6.64113000
0.01560000	-6.64296200
0.01580000	-6.64326700
0.01600000	-6.64326700
0.01620000	-6.64296200
0.01640000	-6.64326700
0.01660000	-6.64387800
0.01680000	-6.64509800
0.01700000	-6.64662500
0.01720000	-6.64693000
0.01740000	-6.64662500
0.01760000	-6.64540300
0.01780000	-6.64418300
0.01800000	-6.64326700
0.01820000	-6.64265700
0.01840000	-6.64265700
0.01860000	-6.64326700
0.01880000	-6.64418300
0.01900000	-6.64570900
0.01920000	-6.64693000
0.01940000	-6.64845600
0.01960000	-6.64906600
0.01980000	-6.64937100
0.02000000	-6.64967600
0.02020000	-6.64937100
0.02040000	-6.64876100
0.02060000	-6.64845600
0.02080000	-6.64723500
0.02100000	-6.64601400
0.02120000	-6.64479300
0.02140000	-6.64387800
0.02160000	-6.64326700
0.02180000	-6.64296200
0.02200000	-6.64265700
0.02220000	-6.64204600
0.02240000	-6.64082500
0.02260000	-6.63991000
0.02280000	-6.63929900
0.02300000	-6.63929900
0.02320000	-6.64021500
0.02340000	-6.64113000
0.02360000	-6.64204600
0.02380000	-6.64265700
0.02400000	-6.64265700
0.02420000	-6.64235100
0.02440000	-6.64235100
0.02460000	-6.64235100
0.02480000	-6.64296200
0.02500000	-6.64357200
0.02520000	-6.64387800
0.02540000	-6.64418300
0.02560000	-6.64387800
0.02580000	-6.64265700
0.02600000	-6.64204600
0.02620000	-6.64143600
0.02640000	-6.64174100
0.02660000	-6.64265700
0.02680000	-6.64418300
0.02700000	-6.64540300
0.02720000	-6.64631900
0.02740000	-6.64631900
0.02760000	-6.64570900
0.02780000	-6.64479300
0.02800000	-6.64387800
0.02820000	-6.64326700
0.02840000	-6.64265700
0.02860000	-6.64235100
0.02880000	-6.64174100
0.02900000	-6.64113000
0.02920000	-6.64082500
0.02940000	-6.64082500
0.02960000	-6.64052000
0.02980000	-6.64082500
0.03000000	-6.64113000
0.03020000	-6.64174100
0.03040000	-6.64265700
0.03060000	-6.64326700
0.03080000	-6.64357200
0.03100000	-6.64357200
0.03120000	-6.64296200
0.03140000	-6.64204600
0.03160000	-6.64082500
0.03180000	-6.63960500
0.03200000	-6.63868900
0.03220000	-6.63807800
0.03240000	-6.63807800
